sale_price,sale_prob,sale_show_prob,sale_min_prob,sale_mod_prob,sale_full_prob,repair_show_cost,repair_min_cost,repair_mod_cost,repair_full_cost,exp_repair_cost,fixed_fees,variable_fees,commission,exp_net
970000.00,0.01,0.00,0.01,0.19,0.80,0.00,350.00,15200.00,140000.00,155550.00,2421.00,10670.00,48500.00,752860.00
975000.00,0.01,0.00,0.01,0.19,0.80,0.00,350.00,15200.00,140000.00,155550.00,2421.00,10725.00,48750.00,757555.00
980000.00,0.01,0.00,0.00,0.15,0.85,0.00,0.00,12000.00,148750.00,160750.00,2421.00,10780.00,49000.00,757050.00
985000.00,0.01,0.00,0.00,0.15,0.85,0.00,0.00,12000.00,148750.00,160750.00,2421.00,10835.00,49250.00,761745.00
990000.00,0.01,0.00,0.00,0.10,0.90,0.00,0.00,8000.00,157500.00,165500.00,2421.00,10890.00,49500.00,761690.00
995000.00,0.01,0.00,0.00,0.10,0.90,0.00,0.00,8000.00,157500.00,165500.00,2421.00,10945.00,49750.00,766385.00
1000000.00,0.00,0.00,0.00,0.05,0.95,0.00,0.00,4000.00,166250.00,170250.00,2421.00,11000.00,50000.00,766330.00
1005000.00,0.00,0.00,0.00,0.05,0.95,0.00,0.00,4000.00,166250.00,170250.00,2421.00,11055.00,50250.00,771025.00
1010000.00,0.00,0.00,0.00,0.05,0.95,0.00,0.00,4000.00,166250.00,170250.00,2421.00,11110.00,50500.00,775720.00
1015000.00,0.00,0.00,0.00,0.05,0.95,0.00,0.00,4000.00,166250.00,170250.00,2421.00,11165.00,50750.00,780415.00
1020000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11220.00,51000.00,780360.00
1025000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11275.00,51250.00,785055.00
1030000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11330.00,51500.00,789750.00
1035000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11385.00,51750.00,794445.00
1040000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11440.00,52000.00,799140.00
1045000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11495.00,52250.00,803835.00
1050000.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,175000.00,175000.00,2421.00,11550.00,52500.00,808530.00
